date,price
2020-01-01,96.72464614024504
2020-01-02,101.27560791612083
2020-01-03,102.2405620460601
2020-01-04,103.19380774386734
2020-01-05,103.3368904923148
2020-01-06,102.52818658803507
2020-01-07,106.42117697819982
2020-01-08,103.8674204855846
2020-01-09,107.29396422309736
2020-01-10,108.79292013664131
2020-01-11,110.69705190954511
2020-01-12,108.65148245142095
2020-01-13,111.10545644610042
2020-01-14,109.293008678394
2020-01-15,108.77860036920913
2020-01-16,108.64894631483253
2020-01-17,108.41541445781907
2020-01-18,106.86281214088724
2020-01-19,110.72077058593851
2020-01-20,106.80475025583034
2020-01-21,108.8887632210817
2020-01-22,109.53814497593562
2020-01-23,105.85705242891575
2020-01-24,106.58454355667234
2020-01-25,105.83709078885349
2020-01-26,108.66304046910581
2020-01-27,104.60732936143575
2020-01-28,104.27490176343272
2020-01-29,104.05100827815524
2020-01-30,104.47327756516826
2020-01-31,100.87456118327545
2020-02-01,98.86506006786644
2020-02-02,97.46899545314979
2020-02-03,99.75907813117544
2020-02-04,95.7612510191785
2020-02-05,97.98704747174398
2020-02-06,93.39564878628073
2020-02-07,94.36203746784636
2020-02-08,94.259733273717
2020-02-09,93.58890007510112
2020-02-10,92.63121188123193
2020-02-11,92.15599337942747
2020-02-12,87.315226669319
2020-02-13,93.00194519125455
2020-02-14,90.25141306474578
2020-02-15,89.75502583862048
2020-02-16,90.70443666389112
2020-02-17,87.71546863822205
2020-02-18,90.79127917157928
2020-02-19,93.4808221510668
2020-02-20,91.56808733339786
2020-02-21,92.65873587227438
2020-02-22,92.87920526243215
2020-02-23,91.47954189086697
2020-02-24,92.7600258166066
2020-02-25,90.52858356044598
2020-02-26,96.2128828089995
2020-02-27,97.66942758470108
2020-02-28,98.57788971751155
2020-02-29,98.54219283339911
2020-03-01,96.44087394023998
2020-03-02,96.34809724060442
2020-03-03,97.35472219110329
2020-03-04,100.43898145800603
2020-03-05,102.42603619511858
2020-03-06,100.71980876664863
2020-03-07,106.60199797153705
2020-03-08,104.71242571298747
2020-03-09,107.16001697931439
2020-03-10,105.83668345392104
2020-03-11,103.70102992989578
2020-03-12,105.75691472725586
2020-03-13,111.34360298830879
2020-03-14,105.98888955168199
2020-03-15,109.94322088182551
2020-03-16,109.19075264378905
2020-03-17,112.6135264111413
2020-03-18,110.65214952831339
2020-03-19,110.80708949087445
2020-03-20,108.80873373267366
2020-03-21,110.32155811929
2020-03-22,111.61862295648531
2020-03-23,106.60680513678376
2020-03-24,108.63082480856059
2020-03-25,105.87292721868185
2020-03-26,109.93993222861248
2020-03-27,108.93554125929406
2020-03-28,104.38543371443669
2020-03-29,105.21929746109357
2020-03-30,101.55031506911939
2020-03-31,104.53442631163982
2020-04-01,104.1457332172322
2020-04-02,101.00603405332807
2020-04-03,99.61091011626203
2020-04-04,100.56274716757228
2020-04-05,99.28016015588119
2020-04-06,99.85485921026358
2020-04-07,98.87952555322211
2020-04-08,98.5623444455099
2020-04-09,95.22114328376925
